ID^DESCR.^WATER^CALORIES^PROTEIN^FAT^ASH^CARB.^FIBER^SUGAR^CALCIUM^IRON^MAGN^PHOSP.^POTASS.^SODIUM^ZINC^COPPER^MANG.^SELEN.^VIT_C^THIAMIN^RIBO^NIACIN^PANTO_ACID^VIT_B6^FOLATE^FOLIC_ACID^FOOD_FOLATE^FOLATE_DFE^CHOLINE^VIT_B12^VIT_A^VIT_A_RET^RETINOL^ALPHA_CAROT^BETA_CAROT^BETA_CRYPT^LYCOPENE^LUT_ZEA^VIT_E^VIT_D^VID_D_iu^VIT_K^FA_SAT^FA_MONO^FA_POLY^CHOLESTEROL^HOUSEHOLD_WT^WEIGHT_DESC^^DESC_2^REFUSE
~10123~^~PORK,CURED,BACON,UNPREP~^44.24^417^12.62^39.69^2.17^1.28^0^1^5^0.41^12^144^198^662^1.18^0.042^0.011^20.1^0^0.276^0.081^4.022^0.555^0.266^0^0^0^0^47.8^0.5^37^11^11^0^0^0^0^0^0.43^0.4^16^0^13.296^17.439^6.454^66^28^~1 slice, raw~^442^~1 package~^0
~09193~^~OLIVES,RIPE,CND (SMALL-EXTRA LRG)~^79.99^115^0.84^10.68^2.23^6.26^3.2^0^88^3.3^4^3^8^735^0.22^0.251^0.02^0.9^0.9^0.003^0^0.037^0.015^0.009^0^0^0^0^10.3^0^403^20^0^0^237^9^0^510^1.65^0^0^1.4^1.415^7.888^0.911^0^8.4^~1 tbsp~^4.4^~1 large~^0
~11333~^~PEPPERS,SWT,GRN,RAW~^93.89^20^0.86^0.17^0.43^4.64^1.7^2.4^10^0.34^10^20^175^3^0.13^0.066^0.122^0^80.4^0.057^0.028^0.48^0.099^0.224^10^0^10^10^5.5^0^370^18^0^21^208^7^0^341^0.37^0^0^7.4^0.058^0.008^0.062^0^149^~1 cup, chopped~^92^~1 cup, sliced~^18
~09266~^~PINEAPPLE,RAW,ALL VAR~^86^50^0.54^0.12^0.22^13.12^1.4^9.85^13^0.29^12^8^109^1^0.12^0.11^0.927^0.1^47.8^0.079^0.032^0.5^0.213^0.112^18^0^18^18^5.5^0^58^3^0^0^35^0^0^0^0.02^0^0^0.7^0.009^0.013^0.04^0^165^~1 cup, chunks~^905^~1 fruit~^49
~07057~^~PEPPERONI,BF & PORK,SLICED~^28.55^504^19.25^46.28^4.74^1.18^0^0^19^1.33^18^158^274^1582^2.44^0.091^1.074^29^0^0.271^0.257^4.987^0.93^0.362^5^0^5^5^51.2^1.3^0^0^0^0^0^0^0^0^1.03^1.3^52^5.8^17.708^20.77^4.458^97^85^~3 oz~^2^~1 piece~^0
~01019~^~CHEESE,FETA~^55.22^264^14.21^21.28^5.2^4.09^0^4.09^493^0.65^19^337^62^917^2.88^0.032^0.028^15^0^0.154^0.844^0.991^0.967^0.424^32^0^32^32^15.4^1.69^422^125^125^0^3^0^0^0^0.18^0.4^16^1.8^14.946^4.623^0.591^89^150^~1 cup, crumbled~^28.35^~1 oz~^0
~01028~^~CHEESE,MOZZARELLA,PART SKIM MILK~^53.78^254^24.26^15.92^3.27^2.77^0^1.13^782^0.22^23^463^84^619^2.76^0.025^0.01^14.4^0^0.018^0.303^0.105^0.079^0.07^9^0^9^9^15.4^0.82^481^127^124^0^41^0^0^0^0.14^0.3^12^1.6^10.114^4.51^0.472^64^28.35^~1 oz~^^~~^0
~01009~^~CHEESE,CHEDDAR~^37.02^404^22.87^33.31^3.71^3.09^0^0.48^710^0.14^27^455^76^653^3.64^0.03^0.027^28.5^0^0.029^0.428^0.059^0.41^0.066^27^0^27^27^16.5^1.1^1242^330^330^0^85^0^0^0^0.71^0.6^24^2.4^18.867^9.246^1.421^99^132^~1 cup, diced~^244^~1 cup, melted~^0
~04639~^~SALAD DRSNG,RANCH DRSNG,REG~^45.68^430^1.32^44.54^2.55^5.9^0^4.69^28^0.3^5^186^64^901^0.17^0.019^0.033^3.5^0^0.015^0.087^0.054^0.272^0.03^4^0^4^4^32.8^0.17^69^15^13^0^14^1^0^21^2.22^0.1^3^134.3^6.964^9.202^25.796^26^15^~1 tablespoon~^30^~1 serving~^0
~05000~^~CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT ONLY~^67.78^144^28.04^3.57^1.4^0^0^0^13^0.46^25^246^284^328^0.87^0.041^^23.1^0^0.081^0.131^9.634^^0.314^11^0^8^8^59.8^0.27^17^5^5^0^0^0^0^0^0.32^0^0^0^0.863^1.444^0.49^86^85^~3 oz~^384^~1 breast~^22
~06150~^~SAUCE,BARBECUE~^54.71^172^0.82^0.63^3.07^40.77^0.9^33.24^33^0.64^13^20^232^1027^0.17^0.072^0.126^1.3^0.6^0.023^0.056^0.597^0.164^0.075^2^0^2^2^7.1^0^224^11^0^0^133^2^4550^88^0.8^0^0^1.8^0.045^0.082^0.101^0^17^~1 tbsp~^143^~.5 cup~^0
